schema_name,field_name,data_type,required,vocabulary_or_range,description
subject_profile_schema,subject_id,string,True,pseudonymous identifier,Unique subject ID; no direct identifiers.
subject_profile_schema,study_id,string,True,pseudonymous identifier,Study or protocol identifier.
subject_profile_schema,site_id,string,False,pseudonymous identifier,Site identifier if multi-site.
subject_profile_schema,consent_status,string,True,active|withdrawn|pending|not_applicable,Consent/LAR status.
subject_profile_schema,consent_type,string,False,self|LAR|proxy|ethics_waiver|unknown,Consent pathway.
subject_profile_schema,proxy_available,boolean,True,yes|no,Whether caregiver/proxy support is available.
subject_profile_schema,proxy_relationship_category,string,False,caregiver|family|clinician|other,Broad proxy category only.
subject_profile_schema,age_band,string,False,50-59|60-69|70-79|80+,Banded age for privacy.
subject_profile_schema,sex_at_birth,string,False,female|male|intersex|unknown|not_reported,Optional demographic field.
subject_profile_schema,diagnosis_category,string,True,controlled vocabulary,Complex neurovascular / mixed phenotype category.
subject_profile_schema,phenotype_tags,string,False,semicolon-delimited,Phenotype descriptors.
subject_profile_schema,baseline_cognitive_status,string,False,ordinal/banded,Baseline cognition descriptor.
subject_profile_schema,baseline_function_status,string,False,ordinal/banded,Baseline function descriptor.
subject_profile_schema,care_setting,string,False,home|clinic|assisted_living|memory_care|hybrid|other,Implementation setting.
subject_profile_schema,caregiver_available_days_per_week,integer,False,0-7,Caregiver availability estimate.
subject_profile_schema,tier_level,string,True,Tier1|Tier2|Tier3,Declared measurement tier.
subject_profile_schema,falls_risk_flag,boolean,False,yes|no,Falls risk flag.
subject_profile_schema,dysphagia_flag,boolean,False,yes|no,Swallowing risk flag.
subject_profile_schema,respiratory_status_flag,boolean,False,yes|no,Respiratory concern flag.
subject_profile_schema,sleep_disorder_flag,boolean,False,yes|no,Sleep disorder concern flag.
subject_profile_schema,major_safety_flags,string,False,semicolon-delimited,Major safety flags.
subject_profile_schema,medication_list_hash,string,False,hash only,"Medication list hash or version ID, not raw medication list in public data."
subject_profile_schema,baseline_start_date,date,False,YYYY-MM-DD or shifted date,Baseline start date or privacy-shifted date.
subject_profile_schema,baseline_end_date,date,False,YYYY-MM-DD or shifted date,Baseline end date or privacy-shifted date.
subject_profile_schema,created_at,datetime,True,ISO 8601,Record creation timestamp.
subject_profile_schema,record_status,string,True,draft|reviewed|locked|amended,Record lifecycle status.
