Category,Protocol Element,Status
Study Design,12-month longitudinal study,❌ MISSING FROM MANUSCRIPT
Study Design,Prospective N-of-1 observational protocol,❌ MISSING FROM MANUSCRIPT
Study Design,Baseline Phase (2-4 weeks),❌ MISSING FROM MANUSCRIPT
Study Design,Intervention Window (clinician-determined),❌ MISSING FROM MANUSCRIPT
Study Design,Follow-up Phase (8-12 weeks),❌ MISSING FROM MANUSCRIPT
Study Design,Blinded cognitive/motor assessment where feasible,❌ MISSING FROM MANUSCRIPT
Primary Objectives (Protocol-Specific),"64-channel EEG spectral power, connectivity, event-related potentials",❌ MISSING FROM MANUSCRIPT
Primary Objectives (Protocol-Specific),Unified Parkinson's Disease Rating Scale (UPDRS) motor subscore,❌ MISSING FROM MANUSCRIPT
Primary Objectives (Protocol-Specific),6-minute walk test,❌ MISSING FROM MANUSCRIPT
Primary Objectives (Protocol-Specific),"Spirometry (FEV1, FVC, FEV1/FVC ratio)",❌ MISSING FROM MANUSCRIPT
Primary Objectives (Protocol-Specific),EuroQol 5-Dimension (EQ-5D),❌ MISSING FROM MANUSCRIPT
Primary Objectives (Protocol-Specific),SF-36 physical and mental component summaries,❌ MISSING FROM MANUSCRIPT
Secondary Objectives (Protocol-Specific),"Blood biomarkers: CRP, IL-6, TNF-α, BDNF, homocysteine, lipid panel, liver/kidney function",❌ MISSING FROM MANUSCRIPT
Secondary Objectives (Protocol-Specific),"Saliva collection: cortisol (AM and PM), DHEA",❌ MISSING FROM MANUSCRIPT
Secondary Objectives (Protocol-Specific),Stool sample: microbiome composition (16S rRNA sequencing),❌ MISSING FROM MANUSCRIPT
Secondary Objectives (Protocol-Specific),Time-series trend analysis and slope estimation,❌ MISSING FROM MANUSCRIPT
Secondary Objectives (Protocol-Specific),Exploratory correlation analysis between EEG network metrics and cognitive/motor/mood outcomes,❌ MISSING FROM MANUSCRIPT
Supplement Stack (Specific Dosages),Lion's Mane 500-1000 mg/day,✅ IN MANUSCRIPT
Supplement Stack (Specific Dosages),Cordyceps 500-1000 mg/day,✅ IN MANUSCRIPT
Supplement Stack (Specific Dosages),Bacopa 300 mg/day,✅ IN MANUSCRIPT
Supplement Stack (Specific Dosages),Ashwagandha 300-600 mg/day,✅ IN MANUSCRIPT
Supplement Stack (Specific Dosages),Rhodiola 200-400 mg/day,❌ MISSING FROM MANUSCRIPT
Supplement Stack (Specific Dosages),Ginkgo biloba 120-240 mg/day,❌ MISSING FROM MANUSCRIPT
