table_name,field_name,field_label,definition,data_type,allowed_values_or_format,required,privacy_note,example_value
subject_profile,subject_id,Subject ID,Pseudonymous participant identifier.,string,site-specific pseudonymous ID,yes,No direct identifiers.,RAY001-SYN-01
subject_profile,study_id,Study ID,Protocol or study identifier.,string,text,yes,No direct identifiers.,RAY-VASC
subject_profile,primary_phenotype,Primary phenotype,High-level phenotype classification.,string,controlled vocabulary,yes,No direct identifiers.,complex_neurovascular_parkinsonian_phenotype
subject_profile,caregiver_support,Caregiver support,Whether proxy/caregiver support is used.,string,none|intermittent|daily_proxy_supported,yes,Do not identify caregiver by name.,daily_proxy_supported
daily_inputs,study_day,Study day,Sequential day from study start.,integer,1..n,yes,No direct identifiers.,21
daily_inputs,calendar_date,Calendar date,Date of observation or privacy-shifted date.,date,YYYY-MM-DD,yes,Dates may be shifted.,2026-01-21
daily_inputs,phase,Phase,Protocol phase active on that date.,string,baseline|preload|governed_window|sustain|other,yes,No direct identifiers.,governed_window
daily_inputs,sleep_quality_0_10,Sleep quality,Participant/proxy sleep quality rating.,integer,0-10,recommended,None beyond pseudonymous linkage.,3
daily_inputs,respiratory_burden_0_10,Respiratory burden,Symptom burden rating.,integer,0-10,recommended,None beyond pseudonymous linkage.,7
weekly_outcomes,window_start,Window start,Beginning date of weekly reporting window.,date,YYYY-MM-DD,yes,Dates may be shifted.,2026-01-15
weekly_outcomes,fall_count,Fall count,Number of falls in reporting window.,integer,0..n,recommended,No narrative identifiers.,1
weekly_outcomes,window_interpretability,Window interpretability,Whether the observation window is interpretable.,string,interpretable|confounded_review_required|not_interpretable,yes,None beyond pseudonymous linkage.,confounded_review_required
confounders,confounder_type,Confounder type,Type of contextual factor that may affect interpretation.,string,infection|medication_change|hospitalization|travel|stress|device_failure|other,yes,No free-text identifiers.,medication_change
confounders,interpretation_impact,Interpretation impact,How the confounder affects measurement interpretation.,string,none|review_required|window_confounded,yes,None beyond pseudonymous linkage.,window_confounded
adverse_events,term,Adverse event term,Standardized event label.,string,controlled vocabulary,yes,No narrative identifiers.,fall_without_injury
adverse_events,severity,Severity,Severity grade of event.,string,grade_1|grade_2|grade_3|grade_4|grade_5,yes,None beyond pseudonymous linkage.,grade_1
adverse_events,action_taken,Action taken,Documented action after adverse event review.,string,controlled vocabulary,yes,No narrative identifiers.,safety_review_documented
response_policy_versions,response_policy_version,Response-policy version,Version identifier for documented protocol posture.,string,semantic version,yes,No direct identifiers.,1.1.0
response_policy_versions,review_decision,Review decision,Summary of documented response-policy change.,string,structured text or controlled vocabulary,yes,No direct identifiers.,temporarily_simplify_daily_fields_and_repeat_window_after_recovery
version_log,action_type,Action type,Type of provenance event.,string,create|update|correct|release,yes,No direct identifiers.,update
version_log,agent_role,Agent role,Role of the person/team making the change.,string,participant|caregiver|review_team|site_team|data_manager,yes,"Use roles, not names.",review_team
