Category,Ingredient,Daily Dose Range,Evidence Grade,Rationale / Claim Boundary,Governance Layer
Core Mycology (Phase 1 & 3),Lion's Mane,500-1000 mg/day,C (human MCI); B (preclinical),"Candidate neurotrophic substrate supporting NGF/BDNF-related neurite growth, axon/dendrite remodeling, and myelination hypotheses. Dose range mapped from small human MCI trials and preclinical safety/plausibility literature. Not a proven dementia, PSP, stroke, or TBI treatment.","Legal, non-controlled input. APPRE-tunable only within safety gates; requires batch documentation, medication review, adherence capture, and adverse-event monitoring."
Core Mycology (Phase 1 & 3),Cordyceps,500-1000 mg/day,C-D,"Candidate energetic and respiratory-support substrate for fatigue, COPD-adjacent exertion tolerance, and post-stroke deconditioning hypotheses. Human evidence remains limited and not disease-modifying.","Legal, non-controlled input. APPRE-tunable with renal/hepatic safety review and batch documentation."
Core Mycology (Phase 1 & 3),Reishi,500-1500 mg/day,C-D,Candidate immune-modulatory and anti-inflammatory substrate. Not proven neurodegenerative therapy.,"Legal, non-controlled input. APPRE-tunable with medication interaction and adverse-event monitoring."
Neuroprotective Layer (Phase 1 & 3),Bacopa monnieri,300-600 mg/day,B-C,"Candidate cholinergic support and memory/attention input. Meta-analytic evidence supports cognitive domains; disease-specific evidence (PSP, vascular dementia, stroke) remains limited.","Legal, non-controlled input. APPRE-tunable with GI tolerance and medication interaction review."
Neuroprotective Layer (Phase 1 & 3),Citicoline,500-1000 mg/day,B,"Candidate membrane, phospholipid, acetylcholine, and mitochondrial-support input. Rationale is stroke-adjacent functional recovery and cognitive-support literature, not proof of PSP or vascular dementia reversal.","Legal, non-controlled input. APPRE-tunable with medication review and adverse-event monitoring."
Neuroprotective Layer (Phase 1 & 3),NAC,600 mg twice daily,B-C,"Candidate glutathione-support, oxidative-stress, inflammatory, mitochondrial, and tau-adjacent input. Evidence supports mechanistic plausibility and limited clinical signals; disease modification remains unproven.","Legal, non-controlled input. APPRE-tunable with renal function, medication interaction, GI tolerance, and adverse-event monitoring."
Neuroprotective Layer (Phase 1 & 3),Melatonin,3-10 mg at bedtime,B-C,Candidate sleep/circadian gate and neuroprotective-support input. Dose range is titrated to individual sleep response and tolerability; not a disease-modifying claim.,"Legal, non-controlled input. APPRE-tunable with next-day sedation, fall risk, dream disturbance, and sleep metric monitoring."
Neuroprotective Layer (Phase 1 & 3),Alpha-Lipoic Acid,600 mg/day,D (preclinical),Candidate mitochondrial and antioxidant-support input. Stroke and neurorestoration rationale is primarily preclinical; human dose anchoring is extrapolated from adjacent neuropathy literature.,"Legal, non-controlled input. APPRE-tunable only with glucose, renal, hepatic, and medication interaction review."
Neuroprotective Layer (Phase 1 & 3),Curcumin,90-180 mg/day (bioavailable formulation),C-D,"Candidate anti-inflammatory and oxidative-stress input. Bioavailable formulation is specified because absorption limits ordinary curcumin interpretation. Evidence remains adjunctive, not disease-modifying.","Legal, non-controlled input. APPRE-tunable with bleeding-risk, GI tolerance, and medication interaction monitoring."
Neuroprotective Layer (Phase 1 & 3),Phosphatidylserine (DHA-PS preferred),300 mg/day,B,Candidate neuronal membrane integrity and cognitive-support input. Dose mapped from published cognitive trials; not proven for PSP or vascular dementia.,"Legal, non-controlled input. APPRE-tunable with bleeding-risk review and batch documentation."
Neuroprotective Layer (Phase 1 & 3),Omega-3 (EPA+DHA),1000-2000 mg/day,B,"Candidate vascular, anti-inflammatory, and membrane-support input. Cardiovascular and cognitive-support evidence is stronger than disease-specific neurodegenerative evidence.","Legal, non-controlled input. APPRE-tunable with bleeding-risk and GI tolerance monitoring."
Neuroprotective Layer (Phase 1 & 3),Vitamin D3,2000-4000 IU/day,B,"Candidate immune, inflammatory, mood, and bone-health support. Dose titrated to 25-OH vitamin D serum level targets (30-50 ng/mL).","Legal, non-controlled input. APPRE-tunable with serum monitoring and hypercalcemia safety review."
Neuroprotective Layer (Phase 1 & 3),B-Complex,Standard multivitamin B-complex,B,"Candidate methylation, homocysteine, and neuroprotective-support input. B6, B9, B12 are emphasized.","Legal, non-controlled input. APPRE-tunable with baseline B12/homocysteine monitoring."
Phase 2 Governed Plasticity Window,Psilocybin,"20-30 mg/70 kg synthetic psilocybin (published clinical-trial range; Davis et al., 2021; Garcia-Romeu et al., 2021; Goodwin et al., 2022)",A (psychiatric RCTs for TRD/MDD); C-D (neurological translation),"Candidate neuroplasticity, network-dynamics, and 5-HT2A + TrkB-binding input. Published clinical-trial dosage ranges are cited for scientific reference only. Dried-mushroom gram equivalents are NOT provided due to alkaloid variability across biological material. Not a prescription, self-use instruction, or dosing recommendation. Neurological evidence (PSP, vascular dementia, TBI, stroke) remains early-stage, open-label, and hypothesis-generating.","Controlled-substance layer. Clinician-governed only; lawful jurisdiction and ethics approval required. Not APPRE-tunable. Recorded as clinician-administered, as-administered exposure data only. No sourcing, preparation, or self-administration instructions."
Optional Phase 3 Observational Field,Low-level psilocybin exposure (if lawful and clinician-governed),As-administered only; no public dosing range,E-C,Optional observational field for lawful clinical programs. Not required for Phase 3. Evidence Grade E-C reflects limited human evidence for low-frequency neurological dosing.,Controlled-substance layer. Clinician-governed only. Not APPRE-tunable. No public dosing instructions.
