field_name,data_type,required,vocabulary_or_range,description
subject_id,string,True,pseudonymous identifier,Unique subject ID; no direct identifiers.
study_id,string,True,pseudonymous identifier,Study or protocol identifier.
site_id,string,False,pseudonymous identifier,Site identifier if multi-site.
consent_status,string,True,active|withdrawn|pending|not_applicable,Consent/LAR status.
consent_type,string,False,self|LAR|proxy|ethics_waiver|unknown,Consent pathway.
proxy_available,boolean,True,yes|no,Whether caregiver/proxy support is available.
proxy_relationship_category,string,False,caregiver|family|clinician|other,Broad proxy category only.
age_band,string,False,50-59|60-69|70-79|80+,Banded age for privacy.
sex_at_birth,string,False,female|male|intersex|unknown|not_reported,Optional demographic field.
diagnosis_category,string,True,controlled vocabulary,Complex neurovascular / mixed phenotype category.
phenotype_tags,string,False,semicolon-delimited,Phenotype descriptors.
baseline_cognitive_status,string,False,ordinal/banded,Baseline cognition descriptor.
baseline_function_status,string,False,ordinal/banded,Baseline function descriptor.
care_setting,string,False,home|clinic|assisted_living|memory_care|hybrid|other,Implementation setting.
caregiver_available_days_per_week,integer,False,0-7,Caregiver availability estimate.
tier_level,string,True,Tier1|Tier2|Tier3,Declared measurement tier.
falls_risk_flag,boolean,False,yes|no,Falls risk flag.
dysphagia_flag,boolean,False,yes|no,Swallowing risk flag.
respiratory_status_flag,boolean,False,yes|no,Respiratory concern flag.
sleep_disorder_flag,boolean,False,yes|no,Sleep disorder concern flag.
major_safety_flags,string,False,semicolon-delimited,Major safety flags.
medication_list_hash,string,False,hash only,"Medication list hash or version ID, not raw medication list in public data."
baseline_start_date,date,False,YYYY-MM-DD or shifted date,Baseline start date or privacy-shifted date.
baseline_end_date,date,False,YYYY-MM-DD or shifted date,Baseline end date or privacy-shifted date.
created_at,datetime,True,ISO 8601,Record creation timestamp.
record_status,string,True,draft|reviewed|locked|amended,Record lifecycle status.
