Measurement Tier,Domain,Instrument/Tool,Tier 1 (N-of-1 Feasibility),Tier 2 (Cohort/Standardization),Tier 3 (Pilot RCT Readiness)
Cognition,Global cognition,MoCA,Daily/weekly self-report + baseline/endpoint MoCA,Blinded rater MoCA,Full neuropsych battery
,Executive function,"Stroop, Trails B",Optional,Baseline + quarterly,Baseline + monthly + endpoint
,Processing speed,Digit Symbol Substitution,Optional,Baseline + quarterly,Baseline + endpoint
Motor,Gait/balance,"Timed Up-and-Go, steps/day",Daily steps + weekly TUG,Wearable actigraphy + monthly TUG,Wearable + video-recorded TUG
,Parkinsonian signs,MDS-UPDRS Part III,Baseline + endpoint,Baseline + monthly,Baseline + biweekly + endpoint
Mood,Depression,PHQ-9,Weekly,Weekly,Weekly + blinded clinician rating
,Anxiety,GAD-7,Weekly,Weekly,Weekly + blinded clinician rating
Sleep,Efficiency,Sleep diary,Daily,Daily + actigraphy,Daily + actigraphy + PSG if indicated
,OSA/PLMD,"CPAP adherence, PLMD severity",Self-report + device download,Device download monthly,Device download + repeat PSG if clinically indicated
Respiratory,Breathlessness,mMRC Dyspnea Scale,Weekly,Weekly + spirometry baseline,Weekly + spirometry quarterly
,Exertion tolerance,6-minute walk test,Optional baseline,Baseline + quarterly,Baseline + monthly + endpoint
Vascular/Metabolic,Blood pressure,Home BP monitoring,Daily,Daily + quarterly clinic BP,Daily + quarterly clinic BP
,Glycemic control,A1c,Baseline + endpoint,Baseline + quarterly,Baseline + quarterly
Biomarkers,Neurotropic,BDNF serum,Optional,Baseline + endpoint,Baseline + post-Phase 2 + endpoint
,Inflammatory,hs-CRP,Optional,Baseline + endpoint,Baseline + quarterly
,Neurodegenerative,"p-tau217, NfL",Optional,Baseline + endpoint,Baseline + post-Phase 2 + endpoint
EEG,Network dynamics,"Resting-state EEG, alpha/beta coherence, P300",Optional,Baseline + endpoint,Baseline + post-Phase 2 + endpoint
Adverse Events,Safety,"AE log, falls, infections, med changes",Daily,Daily + centralized review,Daily + independent safety monitor
Adherence,Protocol fidelity,"Input log, dose timing, confounder annotation",Daily,Daily + adherence algorithm,Daily + blinded adherence audit
